"komentar","cleaned_text","casefolded","tokens","normalized","stopword_removed","stemmed","cleaned","label"
"Paket sudah sampai, pengiriman cepat. Jam berfungsi dengan baik. Cocok untuk pergelangan tangan yg kecil 😊. Makasih seller 🙏","Paket sudah sampai pengiriman cepat Jam berfungsi dengan baik Cocok untuk pergelangan tangan yg kecil Makasih seller","paket sudah sampai pengiriman cepat jam berfungsi dengan baik cocok untuk pergelangan tangan yg kecil makasih seller","['paket', 'sudah', 'sampai', 'pengiriman', 'cepat', 'jam', 'berfungsi', 'dengan', 'baik', 'cocok', 'untuk', 'pergelangan', 'tangan', 'yg', 'kecil', 'makasih', 'seller']","['paket', 'sudah', 'sampai', 'pengiriman', 'cepat', 'jam', 'berfungsi', 'dengan', 'baik', 'cocok', 'untuk', 'pergelangan', 'tangan', 'yang', 'kecil', 'makasih', 'seller']","['paket', 'pengiriman', 'cepat', 'jam', 'berfungsi', 'cocok', 'pergelangan', 'tangan', 'makasih', 'seller']","['paket', 'kirim', 'cepat', 'jam', 'fungsi', 'cocok', 'gelang', 'tangan', 'makasih', 'seller']","paket kirim cepat jam fungsi cocok gelang tangan makasih seller",""
"Keren, mantap saya suka, free order estimasi awal mei, ternyata nyampe nya 20 April, barang datang dalam keadaan baik dan berfungsi normal, fitur fitur nya juga keren, terimakasih ya 👍","Keren mantap saya suka free order estimasi awal mei ternyata nyampe nya 20 April barang datang dalam keadaan baik dan berfungsi normal fitur fitur nya juga keren terimakasih ya","keren mantap saya suka free order estimasi awal mei ternyata nyampe nya 20 april barang datang dalam keadaan baik dan berfungsi normal fitur fitur nya juga keren terimakasih ya","['keren', 'mantap', 'saya', 'suka', 'free', 'order', 'estimasi', 'awal', 'mei', 'ternyata', 'nyampe', 'nya', '20', 'april', 'barang', 'datang', 'dalam', 'keadaan', 'baik', 'dan', 'berfungsi', 'normal', 'fitur', 'fitur', 'nya', 'juga', 'keren', 'terimakasih', 'ya']","['keren', 'mantap', 'saya', 'suka', 'free', 'order', 'estimasi', 'awal', 'mei', 'ternyata', 'nyampe', 'nya', '20', 'april', 'barang', 'datang', 'dalam', 'keadaan', 'baik', 'dan', 'berfungsi', 'normal', 'fitur', 'fitur', 'nya', 'juga', 'keren', 'terimakasih', 'ya']","['keren', 'mantap', 'suka', 'free', 'order', 'estimasi', 'mei', 'nyampe', '20', 'april', 'barang', 'berfungsi', 'normal', 'fitur', 'fitur', 'keren', 'terimakasih']","['keren', 'mantap', 'suka', 'free', 'order', 'estimasi', 'mei', 'nyampe', '20', 'april', 'barang', 'fungsi', 'normal', 'fitur', 'fitur', 'keren', 'terimakasih']","keren mantap suka free order estimasi mei nyampe 20 april barang fungsi normal fitur fitur keren terimakasih",""
"Ternyata bagus. Berfungsi dengan baik. Mau chekout lagi buat istri.","Ternyata bagus Berfungsi dengan baik Mau chekout lagi buat istri","ternyata bagus berfungsi dengan baik mau chekout lagi buat istri","['ternyata', 'bagus', 'berfungsi', 'dengan', 'baik', 'mau', 'chekout', 'lagi', 'buat', 'istri']","['ternyata', 'bagus', 'berfungsi', 'dengan', 'baik', 'mau', 'chekout', 'lagi', 'buat', 'istri']","['bagus', 'berfungsi', 'chekout', 'istri']","['bagus', 'fungsi', 'chekout', 'istri']","bagus fungsi chekout istri",""
"Alhamdulillah kesampean jg punya jm tangan SE1 ini fiturnya lengkap batrenya beneran awet ini udh seminggu dr awal Dateng tgl 11 skrg tgl 16 batrenya berkurang dikit blm pernah cas, warnanya jg soft pink bentuk pas ga kegedean ga kekecilan ditangan aku. Semoga awet 😊","Alhamdulillah kesampean jg punya jm tangan SE1 ini fiturnya lengkap batrenya beneran awet ini udh seminggu dr awal Dateng tgl 11 skrg tgl 16 batrenya berkurang dikit blm pernah cas warnanya jg soft pink bentuk pas ga kegedean ga kekecilan ditangan aku Semoga awet","alhamdulillah kesampean jg punya jm tangan se1 ini fiturnya lengkap batrenya beneran awet ini udh seminggu dr awal dateng tgl 11 skrg tgl 16 batrenya berkurang dikit blm pernah cas warnanya jg soft pink bentuk pas ga kegedean ga kekecilan ditangan aku semoga awet","['alhamdulillah', 'kesampean', 'jg', 'punya', 'jm', 'tangan', 'se1', 'ini', 'fiturnya', 'lengkap', 'batrenya', 'beneran', 'awet', 'ini', 'udh', 'seminggu', 'dr', 'awal', 'dateng', 'tgl', '11', 'skrg', 'tgl', '16', 'batrenya', 'berkurang', 'dikit', 'blm', 'pernah', 'cas', 'warnanya', 'jg', 'soft', 'pink', 'bentuk', 'pas', 'ga', 'kegedean', 'ga', 'kekecilan', 'ditangan', 'aku', 'semoga', 'awet']","['alhamdulillah', 'kesampean', 'jg', 'punya', 'jm', 'tangan', 'se1', 'ini', 'fiturnya', 'lengkap', 'batrenya', 'beneran', 'awet', 'ini', 'sudah', 'seminggu', 'dr', 'awal', 'dateng', 'tgl', '11', 'skrg', 'tgl', '16', 'batrenya', 'berkurang', 'dikit', 'belum', 'pernah', 'cas', 'warnanya', 'jg', 'soft', 'pink', 'bentuk', 'pas', 'tidak', 'kegedean', 'tidak', 'kekecilan', 'ditangan', 'aku', 'semoga', 'awet']","['alhamdulillah', 'kesampean', 'jg', 'jm', 'tangan', 'se1', 'fiturnya', 'lengkap', 'batrenya', 'beneran', 'awet', 'seminggu', 'dr', 'dateng', 'tgl', '11', 'skrg', 'tgl', '16', 'batrenya', 'berkurang', 'dikit', 'cas', 'warnanya', 'jg', 'soft', 'pink', 'bentuk', 'pas', 'kegedean', 'kekecilan', 'ditangan', 'semoga', 'awet']","['alhamdulillah', 'sampean', 'jg', 'jm', 'tangan', 'se1', 'fiturnya', 'lengkap', 'batrenya', 'beneran', 'awet', 'minggu', 'dr', 'dateng', 'tgl', '11', 'skrg', 'tgl', '16', 'batrenya', 'kurang', 'dikit', 'cas', 'warna', 'jg', 'soft', 'pink', 'bentuk', 'pas', 'gede', 'kecil', 'tang', 'moga', 'awet']","alhamdulillah sampean jg jm tangan se1 fiturnya lengkap batrenya beneran awet minggu dr dateng tgl 11 skrg tgl 16 batrenya kurang dikit cas warna jg soft pink bentuk pas gede kecil tang moga awet",""
"barangnya ashli pakai ص. awalnya pusing krn smartwatchnya gk terdetek pakai blooetooth dari hp. setelah di cari2 ternyata harus download di playstore aplikasi bawaan namanya ADVAN SW. akhirnya bs diconect kan dg android saya. makasih penjual dan abang kurir. jazakalloh","barangnya ashli pakai awalnya pusing krn smartwatchnya gk terdetek pakai blooetooth dari hp setelah di cari2 ternyata harus download di playstore aplikasi bawaan namanya ADVAN SW akhirnya bs diconect kan dg android saya makasih penjual dan abang kurir jazakalloh","barangnya ashli pakai awalnya pusing krn smartwatchnya gk terdetek pakai blooetooth dari hp setelah di cari2 ternyata harus download di playstore aplikasi bawaan namanya advan sw akhirnya bs diconect kan dg android saya makasih penjual dan abang kurir jazakalloh","['barangnya', 'ashli', 'pakai', 'awalnya', 'pusing', 'krn', 'smartwatchnya', 'gk', 'terdetek', 'pakai', 'blooetooth', 'dari', 'hp', 'setelah', 'di', 'cari2', 'ternyata', 'harus', 'download', 'di', 'playstore', 'aplikasi', 'bawaan', 'namanya', 'advan', 'sw', 'akhirnya', 'bs', 'diconect', 'kan', 'dg', 'android', 'saya', 'makasih', 'penjual', 'dan', 'abang', 'kurir', 'jazakalloh']","['barangnya', 'ashli', 'pakai', 'awalnya', 'pusing', 'krn', 'smartwatchnya', 'tidak', 'terdetek', 'pakai', 'blooetooth', 'dari', 'hp', 'setelah', 'di', 'cari2', 'ternyata', 'harus', 'download', 'di', 'playstore', 'aplikasi', 'bawaan', 'namanya', 'advan', 'sw', 'akhirnya', 'bs', 'diconect', 'kan', 'dg', 'android', 'saya', 'makasih', 'penjual', 'dan', 'abang', 'kurir', 'jazakalloh']","['barangnya', 'ashli', 'pakai', 'pusing', 'krn', 'smartwatchnya', 'terdetek', 'pakai', 'blooetooth', 'hp', 'cari2', 'download', 'playstore', 'aplikasi', 'bawaan', 'namanya', 'advan', 'sw', 'bs', 'diconect', 'dg', 'android', 'makasih', 'penjual', 'abang', 'kurir', 'jazakalloh']","['barang', 'ashli', 'pakai', 'pusing', 'krn', 'smartwatchnya', 'terdetek', 'pakai', 'blooetooth', 'hp', 'cari2', 'download', 'playstore', 'aplikasi', 'bawa', 'nama', 'advan', 'sw', 'bs', 'diconect', 'dg', 'android', 'makasih', 'jual', 'abang', 'kurir', 'jazakalloh']","barang ashli pakai pusing krn smartwatchnya terdetek pakai blooetooth hp cari2 download playstore aplikasi bawa nama advan sw bs diconect dg android makasih jual abang kurir jazakalloh",""
"aga kecewa dipake di android realme c25y gbs ad notif angkat/tolak notifikasi telepon, cm muncul notif biasa aj ky notif pesan itu aj kekurangan ny, pesan dr hari sabtu bru smpe rmh hari kamis selebihnya oke jam berfungsi dengan baik kecuali yg notifikasi telepon cm muncul notif biasa ky pesan 😅","aga kecewa dipake di android realme c25y gbs ad notif angkat tolak notifikasi telepon cm muncul notif biasa aj ky notif pesan itu aj kekurangan ny pesan dr hari sabtu bru smpe rmh hari kamis selebihnya oke jam berfungsi dengan baik kecuali yg notifikasi telepon cm muncul notif biasa ky pesan","aga kecewa dipake di android realme c25y gbs ad notif angkat tolak notifikasi telepon cm muncul notif biasa aj ky notif pesan itu aj kekurangan ny pesan dr hari sabtu bru smpe rmh hari kamis selebihnya oke jam berfungsi dengan baik kecuali yg notifikasi telepon cm muncul notif biasa ky pesan","['aga', 'kecewa', 'dipake', 'di', 'android', 'realme', 'c25y', 'gbs', 'ad', 'notif', 'angkat', 'tolak', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'biasa', 'aj', 'ky', 'notif', 'pesan', 'itu', 'aj', 'kekurangan', 'ny', 'pesan', 'dr', 'hari', 'sabtu', 'bru', 'smpe', 'rmh', 'hari', 'kamis', 'selebihnya', 'oke', 'jam', 'berfungsi', 'dengan', 'baik', 'kecuali', 'yg', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'biasa', 'ky', 'pesan']","['aga', 'kecewa', 'dipake', 'di', 'android', 'realme', 'c25y', 'gbs', 'ad', 'notif', 'angkat', 'tolak', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'biasa', 'saja', 'ky', 'notif', 'pesan', 'itu', 'saja', 'kekurangan', 'nya', 'pesan', 'dr', 'hari', 'sabtu', 'bru', 'smpe', 'rmh', 'hari', 'kamis', 'selebihnya', 'oke', 'jam', 'berfungsi', 'dengan', 'baik', 'kecuali', 'yang', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'biasa', 'ky', 'pesan']","['aga', 'kecewa', 'dipake', 'android', 'realme', 'c25y', 'gbs', 'ad', 'notif', 'angkat', 'tolak', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'ky', 'notif', 'pesan', 'kekurangan', 'pesan', 'dr', 'sabtu', 'bru', 'smpe', 'rmh', 'kamis', 'selebihnya', 'oke', 'jam', 'berfungsi', 'kecuali', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'ky', 'pesan']","['aga', 'kecewa', 'dipake', 'android', 'realme', 'c25y', 'gbs', 'ad', 'notif', 'angkat', 'tolak', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'ky', 'notif', 'pesan', 'kurang', 'pesan', 'dr', 'sabtu', 'bru', 'smpe', 'rmh', 'kamis', 'lebih', 'oke', 'jam', 'fungsi', 'kecuali', 'notifikasi', 'telepon', 'cm', 'muncul', 'notif', 'ky', 'pesan']","aga kecewa dipake android realme c25y gbs ad notif angkat tolak notifikasi telepon cm muncul notif ky notif pesan kurang pesan dr sabtu bru smpe rmh kamis lebih oke jam fungsi kecuali notifikasi telepon cm muncul notif ky pesan",""
"Produk lokal berkualitas dengan harga terjangkau ✨ Udah coba pakai selama seminggu, dari awal dateng sampai sekarang belum ngecharge lagi. Batrenya awet banget! Looksnya juga cukup oke, pairing mudah (saya pakai iPhone), tali jamnya lembut dan nyaman (gak bikin gatel klo kena keringat). Recommended!","Produk lokal berkualitas dengan harga terjangkau Udah coba pakai selama seminggu dari awal dateng sampai sekarang belum ngecharge lagi Batrenya awet banget Looksnya juga cukup oke pairing mudah saya pakai iPhone tali jamnya lembut dan nyaman gak bikin gatel klo kena keringat Recommended","produk lokal berkualitas dengan harga terjangkau udah coba pakai selama seminggu dari awal dateng sampai sekarang belum ngecharge lagi batrenya awet banget looksnya juga cukup oke pairing mudah saya pakai iphone tali jamnya lembut dan nyaman gak bikin gatel klo kena keringat recommended","['produk', 'lokal', 'berkualitas', 'dengan', 'harga', 'terjangkau', 'udah', 'coba', 'pakai', 'selama', 'seminggu', 'dari', 'awal', 'dateng', 'sampai', 'sekarang', 'belum', 'ngecharge', 'lagi', 'batrenya', 'awet', 'banget', 'looksnya', 'juga', 'cukup', 'oke', 'pairing', 'mudah', 'saya', 'pakai', 'iphone', 'tali', 'jamnya', 'lembut', 'dan', 'nyaman', 'gak', 'bikin', 'gatel', 'klo', 'kena', 'keringat', 'recommended']","['produk', 'lokal', 'berkualitas', 'dengan', 'harga', 'terjangkau', 'udah', 'coba', 'pakai', 'selama', 'seminggu', 'dari', 'awal', 'dateng', 'sampai', 'sekarang', 'belum', 'ngecharge', 'lagi', 'batrenya', 'awet', 'banget', 'looksnya', 'juga', 'cukup', 'oke', 'pairing', 'mudah', 'saya', 'pakai', 'iphone', 'tali', 'jamnya', 'lembut', 'dan', 'nyaman', 'tidak', 'bikin', 'gatel', 'klo', 'kena', 'keringat', 'recommended']","['produk', 'lokal', 'berkualitas', 'harga', 'terjangkau', 'udah', 'coba', 'pakai', 'seminggu', 'dateng', 'ngecharge', 'batrenya', 'awet', 'banget', 'looksnya', 'oke', 'pairing', 'mudah', 'pakai', 'iphone', 'tali', 'jamnya', 'lembut', 'nyaman', 'bikin', 'gatel', 'klo', 'keringat', 'recommended']","['produk', 'lokal', 'kualitas', 'harga', 'jangkau', 'udah', 'coba', 'pakai', 'minggu', 'dateng', 'ngecharge', 'batrenya', 'awet', 'banget', 'looksnya', 'oke', 'pairing', 'mudah', 'pakai', 'iphone', 'tali', 'jam', 'lembut', 'nyaman', 'bikin', 'gatel', 'klo', 'keringat', 'recommended']","produk lokal kualitas harga jangkau udah coba pakai minggu dateng ngecharge batrenya awet banget looksnya oke pairing mudah pakai iphone tali jam lembut nyaman bikin gatel klo keringat recommended",""
"paket diterima dengan aman. jamnya ringan. aplikasi cukup ok, mudah digunakan. mudah terhubung ke aplikasi advan nya. hanya saja sudah coba, tidak bisa terhubung ke aplikasi stra*a aja. but, it's oke yang penting bisa dipakai untuk olahraga. thanks yaa respon seller juga cukup responsif.","paket diterima dengan aman jamnya ringan aplikasi cukup ok mudah digunakan mudah terhubung ke aplikasi advan nya hanya saja sudah coba tidak bisa terhubung ke aplikasi stra a aja but it s oke yang penting bisa dipakai untuk olahraga thanks yaa respon seller juga cukup responsif","paket diterima dengan aman jamnya ringan aplikasi cukup ok mudah digunakan mudah terhubung ke aplikasi advan nya hanya saja sudah coba tidak bisa terhubung ke aplikasi stra a aja but it s oke yang penting bisa dipakai untuk olahraga thanks yaa respon seller juga cukup responsif","['paket', 'diterima', 'dengan', 'aman', 'jamnya', 'ringan', 'aplikasi', 'cukup', 'ok', 'mudah', 'digunakan', 'mudah', 'terhubung', 'ke', 'aplikasi', 'advan', 'nya', 'hanya', 'saja', 'sudah', 'coba', 'tidak', 'bisa', 'terhubung', 'ke', 'aplikasi', 'stra', 'a', 'aja', 'but', 'it', 's', 'oke', 'yang', 'penting', 'bisa', 'dipakai', 'untuk', 'olahraga', 'thanks', 'yaa', 'respon', 'seller', 'juga', 'cukup', 'responsif']","['paket', 'diterima', 'dengan', 'aman', 'jamnya', 'ringan', 'aplikasi', 'cukup', 'oke', 'mudah', 'digunakan', 'mudah', 'terhubung', 'ke', 'aplikasi', 'advan', 'nya', 'hanya', 'saja', 'sudah', 'coba', 'tidak', 'bisa', 'terhubung', 'ke', 'aplikasi', 'stra', 'a', 'aja', 'but', 'it', 's', 'oke', 'yang', 'penting', 'bisa', 'dipakai', 'untuk', 'olahraga', 'thanks', 'yaa', 'respon', 'seller', 'juga', 'cukup', 'responsif']","['paket', 'diterima', 'aman', 'jamnya', 'ringan', 'aplikasi', 'oke', 'mudah', 'mudah', 'terhubung', 'aplikasi', 'advan', 'coba', 'terhubung', 'aplikasi', 'stra', 'aja', 'but', 'it', 'oke', 'dipakai', 'olahraga', 'thanks', 'yaa', 'respon', 'seller', 'responsif']","['paket', 'terima', 'aman', 'jam', 'ringan', 'aplikasi', 'oke', 'mudah', 'mudah', 'hubung', 'aplikasi', 'advan', 'coba', 'hubung', 'aplikasi', 'stra', 'aja', 'but', 'it', 'oke', 'pakai', 'olahraga', 'thanks', 'yaa', 'respon', 'seller', 'responsif']","paket terima aman jam ringan aplikasi oke mudah mudah hubung aplikasi advan coba hubung aplikasi stra aja but it oke pakai olahraga thanks yaa respon seller responsif",""
"Alhamdulillah cepet dtg ..kurir baik, sopan jam sampai aman selamat tanpa ada yg lecet. Seting jam nya jg ga sulit.. ringan jam nya dan rekomended","Alhamdulillah cepet dtg kurir baik sopan jam sampai aman selamat tanpa ada yg lecet Seting jam nya jg ga sulit ringan jam nya dan rekomended","alhamdulillah cepet dtg kurir baik sopan jam sampai aman selamat tanpa ada yg lecet seting jam nya jg ga sulit ringan jam nya dan rekomended","['alhamdulillah', 'cepet', 'dtg', 'kurir', 'baik', 'sopan', 'jam', 'sampai', 'aman', 'selamat', 'tanpa', 'ada', 'yg', 'lecet', 'seting', 'jam', 'nya', 'jg', 'ga', 'sulit', 'ringan', 'jam', 'nya', 'dan', 'rekomended']","['alhamdulillah', 'cepet', 'dtg', 'kurir', 'baik', 'sopan', 'jam', 'sampai', 'aman', 'selamat', 'tanpa', 'ada', 'yang', 'lecet', 'seting', 'jam', 'nya', 'jg', 'tidak', 'sulit', 'ringan', 'jam', 'nya', 'dan', 'rekomended']","['alhamdulillah', 'cepet', 'dtg', 'kurir', 'sopan', 'jam', 'aman', 'selamat', 'lecet', 'seting', 'jam', 'jg', 'sulit', 'ringan', 'jam', 'rekomended']","['alhamdulillah', 'cepet', 'dtg', 'kurir', 'sopan', 'jam', 'aman', 'selamat', 'lecet', 'ting', 'jam', 'jg', 'sulit', 'ringan', 'jam', 'rekomended']","alhamdulillah cepet dtg kurir sopan jam aman selamat lecet ting jam jg sulit ringan jam rekomended",""
"Performa: sangat menarik Kualitas pengerjaan: sangat rapi Performa sistem: semua berfungsi","Performa sangat menarik Kualitas pengerjaan sangat rapi Performa sistem semua berfungsi","performa sangat menarik kualitas pengerjaan sangat rapi performa sistem semua berfungsi","['performa', 'sangat', 'menarik', 'kualitas', 'pengerjaan', 'sangat', 'rapi', 'performa', 'sistem', 'semua', 'berfungsi']","['performa', 'sangat', 'menarik', 'kualitas', 'pengerjaan', 'sangat', 'rapi', 'performa', 'sistem', 'semua', 'berfungsi']","['performa', 'menarik', 'kualitas', 'pengerjaan', 'rapi', 'performa', 'sistem', 'berfungsi']","['performa', 'tarik', 'kualitas', 'kerja', 'rapi', 'performa', 'sistem', 'fungsi']","performa tarik kualitas kerja rapi performa sistem fungsi",""
"Alhamdulillah sesuai dengan pesanan, packing juga rapih dan produk juga berfungsi dengan baik.. sukses sllu untuk toko nya","Alhamdulillah sesuai dengan pesanan packing juga rapih dan produk juga berfungsi dengan baik sukses sllu untuk toko nya","alhamdulillah sesuai dengan pesanan packing juga rapih dan produk juga berfungsi dengan baik sukses sllu untuk toko nya","['alhamdulillah', 'sesuai', 'dengan', 'pesanan', 'packing', 'juga', 'rapih', 'dan', 'produk', 'juga', 'berfungsi', 'dengan', 'baik', 'sukses', 'sllu', 'untuk', 'toko', 'nya']","['alhamdulillah', 'sesuai', 'dengan', 'pesanan', 'packing', 'juga', 'rapih', 'dan', 'produk', 'juga', 'berfungsi', 'dengan', 'baik', 'sukses', 'sllu', 'untuk', 'toko', 'nya']","['alhamdulillah', 'sesuai', 'pesanan', 'packing', 'rapih', 'produk', 'berfungsi', 'sukses', 'sllu', 'toko']","['alhamdulillah', 'sesuai', 'pesan', 'packing', 'rapih', 'produk', 'fungsi', 'sukses', 'sllu', 'toko']","alhamdulillah sesuai pesan packing rapih produk fungsi sukses sllu toko",""
"Bagus, gampang konekin nya, suara jelas, suka bgt","Bagus gampang konekin nya suara jelas suka bgt","bagus gampang konekin nya suara jelas suka bgt","['bagus', 'gampang', 'konekin', 'nya', 'suara', 'jelas', 'suka', 'bgt']","['bagus', 'gampang', 'konekin', 'nya', 'suara', 'jelas', 'suka', 'banget']","['bagus', 'gampang', 'konekin', 'suara', 'suka', 'banget']","['bagus', 'gampang', 'konekin', 'suara', 'suka', 'banget']","bagus gampang konekin suara suka banget",""
"cepet banget bener"" sehari sampe tpi pesen nya harus pagi atau siang. Cuman ini saya bingung pakai nya walau ada buku panduan nya🤣, kalau mau connect ke hp tuh gmn yg bisa WA itu, ini cuman bisa sambung bluetooth min saya kudet nih mau nyambungin nya😔🙏","cepet banget bener sehari sampe tpi pesen nya harus pagi atau siang Cuman ini saya bingung pakai nya walau ada buku panduan nya kalau mau connect ke hp tuh gmn yg bisa WA itu ini cuman bisa sambung bluetooth min saya kudet nih mau nyambungin nya","cepet banget bener sehari sampe tpi pesen nya harus pagi atau siang cuman ini saya bingung pakai nya walau ada buku panduan nya kalau mau connect ke hp tuh gmn yg bisa wa itu ini cuman bisa sambung bluetooth min saya kudet nih mau nyambungin nya","['cepet', 'banget', 'bener', 'sehari', 'sampe', 'tpi', 'pesen', 'nya', 'harus', 'pagi', 'atau', 'siang', 'cuman', 'ini', 'saya', 'bingung', 'pakai', 'nya', 'walau', 'ada', 'buku', 'panduan', 'nya', 'kalau', 'mau', 'connect', 'ke', 'hp', 'tuh', 'gmn', 'yg', 'bisa', 'wa', 'itu', 'ini', 'cuman', 'bisa', 'sambung', 'bluetooth', 'min', 'saya', 'kudet', 'nih', 'mau', 'nyambungin', 'nya']","['cepet', 'banget', 'bener', 'sehari', 'sampe', 'tpi', 'pesen', 'nya', 'harus', 'pagi', 'atau', 'siang', 'cuman', 'ini', 'saya', 'bingung', 'pakai', 'nya', 'walau', 'ada', 'buku', 'panduan', 'nya', 'kalau', 'mau', 'connect', 'ke', 'hp', 'tuh', 'gmn', 'yang', 'bisa', 'wa', 'itu', 'ini', 'cuman', 'bisa', 'sambung', 'bluetooth', 'min', 'saya', 'kudet', 'nih', 'mau', 'nyambungin', 'nya']","['cepet', 'banget', 'bener', 'sehari', 'sampe', 'tpi', 'pesen', 'pagi', 'siang', 'cuman', 'bingung', 'pakai', 'buku', 'panduan', 'connect', 'hp', 'tuh', 'gmn', 'wa', 'cuman', 'sambung', 'bluetooth', 'min', 'kudet', 'nih', 'nyambungin']","['cepet', 'banget', 'bener', 'hari', 'sampe', 'tpi', 'sen', 'pagi', 'siang', 'cuman', 'bingung', 'pakai', 'buku', 'pandu', 'connect', 'hp', 'tuh', 'gmn', 'wa', 'cuman', 'sambung', 'bluetooth', 'min', 'kudet', 'nih', 'nyambungin']","cepet banget bener hari sampe tpi sen pagi siang cuman bingung pakai buku pandu connect hp tuh gmn wa cuman sambung bluetooth min kudet nih nyambungin",""
"Pengiriman super cepat,order kemarin pagi, dtg hari ini pagi2 jg,brang sesuai,cuma rada kurang responsif disetuhan masih kdang delay atau tiba2 kepencet menunya,tp overal masih bisa jalan semoga awet barangnya,skalian beli strap gelang biar tambah keren jamnya 🤭,makasih seller sukses selalu ya 🙏🙏","Pengiriman super cepat order kemarin pagi dtg hari ini pagi2 jg brang sesuai cuma rada kurang responsif disetuhan masih kdang delay atau tiba2 kepencet menunya tp overal masih bisa jalan semoga awet barangnya skalian beli strap gelang biar tambah keren jamnya makasih seller sukses selalu ya","pengiriman super cepat order kemarin pagi dtg hari ini pagi2 jg brang sesuai cuma rada kurang responsif disetuhan masih kdang delay atau tiba2 kepencet menunya tp overal masih bisa jalan semoga awet barangnya skalian beli strap gelang biar tambah keren jamnya makasih seller sukses selalu ya","['pengiriman', 'super', 'cepat', 'order', 'kemarin', 'pagi', 'dtg', 'hari', 'ini', 'pagi2', 'jg', 'brang', 'sesuai', 'cuma', 'rada', 'kurang', 'responsif', 'disetuhan', 'masih', 'kdang', 'delay', 'atau', 'tiba2', 'kepencet', 'menunya', 'tp', 'overal', 'masih', 'bisa', 'jalan', 'semoga', 'awet', 'barangnya', 'skalian', 'beli', 'strap', 'gelang', 'biar', 'tambah', 'keren', 'jamnya', 'makasih', 'seller', 'sukses', 'selalu', 'ya']","['pengiriman', 'super', 'cepat', 'order', 'kemarin', 'pagi', 'dtg', 'hari', 'ini', 'pagi2', 'jg', 'brang', 'sesuai', 'cuma', 'rada', 'kurang', 'responsif', 'disetuhan', 'masih', 'kdang', 'delay', 'atau', 'tiba2', 'kepencet', 'menunya', 'tapi', 'overal', 'masih', 'bisa', 'jalan', 'semoga', 'awet', 'barangnya', 'skalian', 'beli', 'strap', 'gelang', 'biar', 'tambah', 'keren', 'jamnya', 'makasih', 'seller', 'sukses', 'selalu', 'ya']","['pengiriman', 'super', 'cepat', 'order', 'kemarin', 'pagi', 'dtg', 'pagi2', 'jg', 'brang', 'sesuai', 'rada', 'responsif', 'disetuhan', 'kdang', 'delay', 'tiba2', 'kepencet', 'menunya', 'overal', 'jalan', 'semoga', 'awet', 'barangnya', 'skalian', 'beli', 'strap', 'gelang', 'biar', 'keren', 'jamnya', 'makasih', 'seller', 'sukses']","['kirim', 'super', 'cepat', 'order', 'kemarin', 'pagi', 'dtg', 'pagi2', 'jg', 'brang', 'sesuai', 'rada', 'responsif', 'tuhan', 'kdang', 'delay', 'tiba2', 'pencet', 'menu', 'overal', 'jalan', 'moga', 'awet', 'barang', 'skalian', 'beli', 'strap', 'gelang', 'biar', 'keren', 'jam', 'makasih', 'seller', 'sukses']","kirim super cepat order kemarin pagi dtg pagi2 jg brang sesuai rada responsif tuhan kdang delay tiba2 pencet menu overal jalan moga awet barang skalian beli strap gelang biar keren jam makasih seller sukses",""
